"Site","Plot_number","Treatment","Tree_number","Species","Height_year_1","Height_year_2","Height_year_3","BA_year_3","DBH_year_3","Mortality_year_1","Mortality_year_2","WD","WD_source"
"LLFS",2,"M1",33,"Inga edulis",NA,14,375,18.983057575,4.91629734500207,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",34,"Inga edulis",NA,216,645,58.818418775,8.65389719970853,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",35,"Inga edulis",NA,276,680,224.694370775,16.9141880783594,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",36,"Inga edulis",NA,88,500,36.80372685,6.84543354500292,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",37,"Inga edulis",NA,146,535,18.888809875,4.9040778629457,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",38,"Inga edulis",NA,96,340,9.432623975,3.4655432266222,1,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",39,"Inga edulis",NA,105,640,32.672536,6.44980347467915,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",40,"Inga edulis",NA,274,555,156.773194975,14.1283343461516,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",41,"Inga edulis",NA,273,590,115.461286475,12.1247629183405,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",42,"Inga edulis",NA,128,470,56.37583255,8.47230425386316,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",43,"Inga edulis",NA,224,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",44,"Inga edulis",NA,183,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",45,"Inga edulis",NA,184,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",46,"Inga edulis",NA,238,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",47,"Inga edulis",NA,151,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",48,"Inga edulis",NA,177,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",2,"M1",49,"Inga edulis",NA,140,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",2,"Inga edulis",NA,176,535,155.390895375,14.0659103112189,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",3,"Inga edulis",NA,227,605,92.810422575,10.8705979681925,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",4,"Inga edulis",NA,282,630,181.843083175,15.2161034576851,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",5,"Inga edulis",NA,270,643,171.216655,14.7648168245758,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",6,"Inga edulis",NA,280,675,158.516777425,14.2066825656623,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",7,"Inga edulis",NA,245,490,98.97579295,11.2258582547376,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",8,"Inga edulis",NA,140,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",9,"Inga edulis",NA,240,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",10,"Inga edulis",NA,160,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",11,"Inga edulis",NA,224,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",12,"Inga edulis",NA,270,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",13,"Inga edulis",NA,283,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",14,"Inga edulis",NA,258,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",15,"Inga edulis",NA,190,525,88.60854595,10.6216714647471,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",16,"Inga edulis",NA,111,405,8.867137775,3.36005810422156,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",17,"Inga edulis",NA,81,340,6.008290875,2.76586216907521,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",18,"Inga edulis",NA,186,565,64.284785375,9.04709516166723,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",19,"Inga edulis",NA,233,535,57.124787606,8.52839601358639,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",20,"Inga edulis",NA,229,695,147.191345475,13.6897714261979,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",21,"Inga edulis",NA,270,660,133.007066625,13.0134490799394,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",22,"Inga edulis",NA,228,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",23,"Inga edulis",NA,228,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",24,"Inga edulis",NA,246,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",25,"Inga edulis",NA,214,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",26,"Inga edulis",NA,178,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",27,"Inga edulis",NA,269,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
"LLFS",3,"M1",28,"Inga edulis",NA,224,NA,NA,NA,NA,NA,0.58,"BIOMASS+BIEN+Zanne"
