rowID,accepted_bin,family,spp,where,LAT,LON,nFix,dispersal,Fruit type,Selection,Bark thickness,Conduit diameter,Crown diameter,Crown height,Leaf area,Leaf density,Leaf K,Leaf N,Leaf P,Leaf thickness,Leaf Vcmax,Root depth,Seed dry mass,Specific leaf area,Stem diameter,Stomatal conductance,Tree height,Wood density
60,Lonchocarpus calcaratus,Leguminosae,LONCAL,Santa Cecilia,8.754427,-82.982898,N-fixer,Other,Wind?,,-0.4055,0.8049,1.1308,0.7691,0.9175,-0.842,0.8204,1.3479,0.8995,-0.8571,0.6995,-0.4995,1.3005,0.9861,-0.0401,0.5976,0.4958,-0.7615
61,Myrsine coriacea,Primulaceae,MYRCOR,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.1163,-2.2659,-1.3566,-1.1059,-1.3838,0.1157,-0.3068,-2.0012,-2.2383,2.1097,-2.6655,-1.6443,-0.6631,-2.1302,0.5264,-1.1302,-1.1949,0.7338
62,Nectandra reticulata,Lauraceae,NECRET,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.8974,-1.7912,-1.1208,-0.3677,-0.4757,-0.0834,-0.9126,-1.2234,-1.1548,0.8956,-1.1031,-0.1289,-0.2724,-1.4424,0.7446,-0.8268,0.4958,-0.1576
63,Ochroma pyramidale,Malvaceae,OCHPYR,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,1.3033,0.4783,0.8736,0.1841,1.3128,-1.0727,0.4191,0.1363,1.2067,-0.4332,1.2005,-0.4995,0.4217,0.9215,1.0749,0.7393,1.1997,-2.685
64,Ocotea lentii,Lauraceae,OCOLEN,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.6287,-1.6107,-0.942,-0.2921,-0.6943,0.2819,-1.5277,-1.0448,-0.7998,1.244,-1.7235,0.7893,-0.2264,-1.6928,0.4729,-1.0325,0.4958,-0.2505
65,Ocotea puberula,Lauraceae,OCOPUB,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.5858,-1.7564,-0.3187,0.0452,-0.6206,0.0588,-1.1012,-0.6835,-0.1796,1.0199,-1.8082,1.0704,-0.1169,-1.3353,0.4176,-0.9716,1.2522,-0.3005
66,Ocotea stenoneura,Lauraceae,OCOSTE,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.5713,-1.5787,-0.942,0.0408,-0.7444,0.3519,-1.5495,-0.9921,-0.9213,1.1065,-1.7264,0.7893,-0.2054,-1.5821,0.4986,-1.1601,0.4958,-0.2262
67,Ormosia cruenta,Leguminosae,ORMCRU,Santa Cecilia,8.754427,-82.982898,N-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,-0.1237,0.6322,1.1308,1.0257,0.915,-0.4618,0.3214,0.9741,0.502,-0.9587,0.5491,1.0704,1.3663,0.5842,-0.0475,0.625,0.4958,0.1939
68,Otoba novogranatensis,Myristicaceae,OTONOV,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,Yes,0.576,-0.9368,0.9496,1.0614,-0.0373,-0.6485,-0.5344,-0.4791,-0.4474,0.8149,0.2824,0.3246,-1.4291,-0.4448,1.3139,0.3604,1.1521,-0.1587
69,Pachira sessilis,Malvaceae,PACSES,Finca Aguas Buenas,9.023306,-83.483773,Non-fixer,Other,Wind,,2.5404,0.3973,-0.8192,-1.0785,-0.304,0.6971,1.2127,-0.2709,0.0132,-0.2768,0.7158,1.0704,0.6094,0.723,-0.8324,-0.3962,-1.1949,-0.5111
70,Persea caerulea,Lauraceae,PERCAE,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,1.2849,-2.0636,-1.3269,-0.3677,-0.5584,0.1389,-1.339,-1.4534,-1.499,1.398,-2.0446,0.3154,-0.1715,-1.7427,0.7446,-0.7882,-0.5394,-0.0886
71,Platymiscium dimorphandrum,Leguminosae,PLADIM,Santa Cecilia,8.754427,-82.982898,N-fixer,Other,Wind,,-0.3015,0.8647,1.6379,0.8853,0.9175,-0.8207,0.4575,0.9732,0.8336,-1.41,0.7935,1.0704,1.2282,1.12,0.3799,0.7502,1.0301,-0.091
72,Pouteria reticulata,Sapotaceae,POURET,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,-0.4236,-1.8037,-1.3533,0.7791,-1.2481,0.4514,-0.9121,-1.5192,-1.1427,1.4414,-2.2972,-0.4995,-0.0556,-1.5475,0.7446,-1.4098,0.4958,1.7832
73,Pseudobombax septenatum,Malvaceae,PSESEP,Santa Cecilia,8.754427,-82.982898,Non-fixer,Other,Wind,,2.3383,0.4404,1.1397,0.8744,1.2094,-0.812,0.5752,0.3027,1.1819,-0.502,1.2338,-0.8774,0.3418,0.9096,1.2585,0.8111,1.5329,-2.4146
74,Pseudolmedia glabrata,Moraceae,PSEGLA,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.422,0.1232,0.2923,1.0614,-0.0683,0.0034,-1.0381,-0.7603,-0.5486,0.4486,-0.1573,-0.1289,-0.0404,-0.5484,1.0314,0.5166,1.0215,1.1384
75,Pterocarpus rohrii,Leguminosae,PTEROH,Finca Aguas Buenas,9.023306,-83.483773,N-fixer,Other,Wind,,-0.2943,1.1357,0.7087,-0.6902,-0.7107,0.9346,0.8336,0.8351,0.6255,-0.6342,0.6241,2.3593,1.3936,1.0905,-0.2314,-0.2636,0.4958,1.2943
76,Quercus benthamii,Fagaceae,QUEBEN,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,1.2791,0.436,0.2923,1.1557,0.0722,0.6036,-1.3913,-0.8706,-1.469,0.963,-0.4124,1.0704,0.4102,-1.008,0.5195,0.6542,1.0157,0.6307
77,Quercus insignis,Fagaceae,QUEINS,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,0.9268,0.4636,0.725,1.5371,0.1102,0.4676,-1.5308,-1.0103,-1.4018,0.8629,-0.5005,1.4746,0.5074,-0.7171,0.5205,0.6668,0.8744,0.8533
78,Quercus lancifolia,Fagaceae,QUELAN,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (non-fleshy fruit),Animal (non-fleshy fruit),,0.9959,0.4577,0.2125,1.5348,0.0474,0.5072,-1.5659,-1.0988,-1.5964,0.8526,-0.5466,1.1078,0.3283,-0.9715,0.5457,0.6878,0.7217,0.9055
79,Ruagea glabra,Meliaceae,RUAGLA,Santa Cecilia,8.754427,-82.982898,Non-fixer,Animal (fleshy fruit),Fleshy fruit,,0.1769,-0.857,-0.9235,0.0537,1.5683,-0.6133,0.5965,0.1533,1.27,-0.1681,-0.325,0.8717,-0.024,0.3027,0.5264,-0.2617,0.4958,0.4921
