where,LAT,LON,raw_name,Genus,species,spp,nFix,dispersal,Fruit type,Wood density,Root depth,Root/shoot ratio,Leaf N per mass,Leaf P per mass,Stem diameter,Bark thickness,Seed dry mass,"Leaf resp. rate, per mass",Leaf K per mass,Stomatal conductance,Leaf thickness,Leaf density,Leaf N:P,Root N per mass,Leaf length,Leaf width,Leaf C/N,Leaf Vcmax per dry mass,Leaf Jmax per dry mass,Stem conduit diameter,Crown diameter,Leaf chlorophyll,Crown height,Root C/N,Wood N per mass,Tree height,Leaf area,Specific leaf area,Leaf water per mass
LG,8.700634,-83.203632,Sterculia apetala,Sterculia,apetala,Steape,non-fixer,animal,Animal,-0.895564,1.611418,-0.869305,3.018702,0.028969,-0.650088,1.762225,3.757503,-4.219633,2.216446,5.266206,-1.43557,-1.136053,2.984162,2.314487,4.518006,1.657326,3.119341,-0.777708,-0.169009,3.808626,2.65102,-0.883041,2.70203,3.917465,1.632617,3.543073,9.250656,2.505131,0.56373
LG,8.700634,-83.203632,Symphonia globulifera,Symphonia,globulifera,Symglo,non-fixer,animal_fleshy,Fleshy fruit,-0.519225,1.648659,-0.91702,2.79011,-0.236819,-1.038176,1.061571,2.891574,-4.666286,1.980404,5.08717,-1.420604,-1.120895,3.013073,2.248734,4.385946,1.475638,3.279557,-0.965289,-0.221419,3.620145,2.363074,-0.778378,2.433613,3.874546,1.251945,3.178054,8.152529,2.342752,0.565121
LG,8.700634,-83.203632,Tabebuia chrysantha,Handroanthus,chrysanthus,Hanchr,nFix,other,Wind,-0.618439,1.609438,-0.789151,3.053403,0.068646,-1.09492,1.068442,2.301558,-4.185798,2.398871,5.292702,-1.479447,-1.271532,3.08346,2.21389,4.527303,1.473115,2.935817,-0.72414,0.05955,3.640376,2.208033,-0.920059,2.152342,3.844475,1.655503,2.991221,8.770492,2.598738,0.687138
LG,8.700634,-83.203632,Tabebuia impetiginosa,Handroanthus,impetiginosus,Hanimp,nFix,other,Wind,-0.63311,1.609438,-0.771226,3.055965,0.081884,-1.052369,1.10551,2.266222,-4.19961,2.38846,5.31641,-1.473942,-1.284924,3.082459,2.194744,4.521103,1.470883,2.898576,-0.782786,0.057719,3.628175,2.208033,-0.911232,2.158365,3.84391,1.644697,2.972453,8.749077,2.611238,0.699088
LG,8.700634,-83.203632,Tachigali versicolor,Tachigali,versicolor,Tacver,nFix,other,Wind,-0.547812,1.61336,-0.97456,3.331758,0.192684,-0.830113,1.168217,3.992969,-4.15861,1.930739,5.248302,-1.724356,-1.04514,3.180825,2.341371,4.324975,1.332535,2.855819,-0.725031,-0.055993,3.817426,2.607391,-0.878859,2.639057,3.920792,1.762814,3.299474,9.214909,2.639211,0.437404
LG,8.700634,-83.203632,Terminalia amazonia,Terminalia,amazonia,Terama,non-fixer,other,Wind,-0.520559,1.589235,-0.810528,2.899291,-0.235077,-0.944176,1.325531,2.563448,-4.265598,2.101931,5.34795,-1.526685,-1.233808,2.954638,2.155687,4.469367,1.435561,3.209481,-0.816152,-0.091685,3.640524,2.336414,-0.915782,2.255618,3.913375,1.476925,3.247652,8.095654,2.542323,0.650919
LG,8.700634,-83.203632,Theobroma angustifolium,Theobroma,angustifolium,Theang,non-fixer,animal_fleshy,Fleshy fruit,-0.870331,1.629241,-0.851655,3.034104,-5.85E-04,-0.622714,1.439828,3.463543,-4.265931,2.113325,5.124352,-1.58024,-1.231276,2.992572,2.287701,4.479983,1.570303,3.133593,-0.874187,-0.217902,3.689131,2.694627,-0.852687,2.450143,3.920085,1.485512,3.238919,8.891319,2.644451,0.637074
LG,8.700634,-83.203632,Tocoyena pittieri,Tocoyena,pittieri,Tocpit,non-fixer,animal_fleshy,Fleshy fruit,-0.502443,1.609438,-0.851328,2.924265,-0.213751,-0.895022,1.073458,2.644402,-4.390734,2.083754,5.167203,-1.501851,-1.233893,3.199516,2.135443,4.579821,1.72471,3.105726,-0.908474,-0.093623,3.544198,2.3816,-0.873042,2.363116,3.960199,1.759235,2.980619,8.982176,2.55232,0.686256
LG,8.700634,-83.203632,Virola guatemalensis,Virola,guatemalensis,Virgua,non-fixer,animal_fleshy,Fleshy fruit,-0.751911,1.609438,-0.878047,2.952273,-0.152798,-1.127012,1.187597,2.963536,-4.653883,1.983334,5.089428,-1.485343,-1.068178,3.017888,2.203176,4.61792,1.54607,3.1854,-0.88838,-0.283227,3.666767,2.3816,-0.854372,2.434487,3.855136,1.720917,3.240079,8.29511,2.454117,0.549035
LG,8.700634,-83.203632,Virola koschnyi,Virola,koschnyi,Virkos,non-fixer,animal_fleshy,Fleshy fruit,-0.770041,1.609438,-0.897987,2.94575,-0.170869,-1.048686,1.206711,2.989535,-4.665897,1.984348,5.070592,-1.458842,-1.08554,2.9852,2.194812,4.61315,1.509394,3.199068,-0.884592,-0.298775,3.668104,2.382316,-0.881748,2.459589,3.847601,1.700732,3.389117,8.195169,2.505951,0.56839
LG,8.700634,-83.203632,Vitex cooperi,Vitex,cooperi,Vitcoo,non-fixer,animal_fleshy,Fleshy fruit,-0.678608,1.609438,-0.77543,3.020416,-0.034362,-1.136314,1.14664,2.139139,-4.273218,2.45517,5.293313,-1.449995,-1.300465,3.026424,2.181392,4.564522,1.481202,3.02473,-0.789321,0.018014,3.64229,2.196613,-0.907359,2.197779,3.841582,1.65184,2.892311,8.76524,2.585099,0.711193
LG,8.700634,-83.203632,Zanthoxylum setulosum,Zanthoxylum,setulosum,Zanset,non-fixer,animal,Animal,-0.634589,2.079442,-0.753584,3.087332,0.264911,-0.853801,1.337368,3.669433,-4.173862,2.253318,5.15295,-1.531113,-1.121135,2.954182,2.263725,4.402854,1.151313,2.975095,-0.807806,-0.174483,3.694842,2.383275,-0.833661,2.34327,3.922561,1.421203,3.118759,9.365681,2.633917,0.546309
LG,8.700634,-83.203632,Zygia longifolia,Zygia,longifolia,Zyglon,nFix,animal,Animal ,-0.531232,1.648659,-0.994703,3.324215,0.044277,-0.830113,1.084461,4.021481,-4.134101,1.893923,5.288241,-1.652336,-0.969981,3.254658,2.365531,4.35705,1.354311,2.83331,-0.799029,-0.050917,3.815425,2.524158,-0.804491,2.442347,3.941716,1.769915,2.995732,8.974901,2.57189,0.311189
LG,8.700634,-83.203632,Abarema,Abarema,,Aba,nFix,animal,Animal ,-0.547625432,1.617814455,-0.986321,3.340766886,0.064404159,-0.843592909,1.120661568,4.051027432,-4.116671409,1.919606295,5.319848545,-1.623938545,-1.014195318,3.235699841,2.368578205,4.405177386,1.376469545,2.841938023,-0.7902395,-0.069548455,3.858359227,2.524158,-0.81289825,2.443098636,3.934214477,1.7790635,3.00119025,9.055439227,2.578388114,0.301579727
LG,8.700634,-83.203632,Castilla,Castilla,,Cas,non-fixer,animal,Animal,-0.982749,1.609438,-1.059041,3.01946,0.244742,-0.392889,1.52978,2.559108,-4.134513,2.220546,5.366863,-1.481048,-1.146769,2.967824,2.011948,4.647592,1.571826,3.021156,-0.665961,-0.111302,3.779801,2.351028,-0.896486,2.434487,3.973851,1.519618,3.575988,9.120724,2.587136,0.665138
